episode,startmin,stopmin,character,charas
12,26.46666667,29.11666667,Sarah,Sarah
12,29.11666667,32.28333333,Cosima,Cosima
12,30,32.28333333,Rachel,Rachel
12,32.28333333,35.66666667,Sarah,Sarah
12,36.05,36.76666667,Sarah,Sarah
12,38.56666667,39.71666667,Alison,Alison
12,39.03333333,39.98333333,Sarah,Sarah
13,0,1.516666667,Sarah,Sarah
13,3.55,3.916666667,Sarah,Sarah
13,4.683333333,5.183333333,Sarah,Sarah
13,6,6.833333333,Sarah,Sarah
13,6.833333333,7.833333333,Alison,Alison
13,7.833333333,8.333333333,Sarah,Sarah
13,8.333333333,9.75,Cosima,Cosima
13,9.75,10.43333333,Sarah,Sarah
13,10.76666667,12.23333333,Helena,Helena
13,12.23333333,14.63333333,Sarah,Sarah
13,14.63333333,16.7,Alison,Alison
13,16.7,17.75,Sarah,Sarah
13,19.03333333,20.66666667,Cosima,Cosima
13,20.66666667,22.56666667,Sarah,Sarah
13,22.56666667,25.33333333,Cosima,Cosima
13,24.43333333,25.4,Alison,Alison
13,25.76666667,26.73333333,Alison,Alison
13,26.73333333,30.38333333,Sarah,Sarah
13,30.38333333,32.8,Alison,Alison
13,32.8,33.41666667,Sarah,Sarah
13,36.6,38.81666667,Sarah,Sarah
13,38.81666667,40.96666667,Helena,Helena
13,40.96666667,41.5,Sarah,Sarah
14,0,1.833333333,Sarah,Sarah
14,1.833333333,2.866666667,Sarah,Sarah
14,3.366666667,4.483333333,Helena,Helena
14,4.483333333,6.633333333,Alison,Alison
14,6.633333333,8.183333333,Sarah,Sarah
14,9.283333333,10.5,Sarah,Sarah
14,10.86666667,14.58333333,Helena,Helena
14,15.5,16.18333333,Cosima,Cosima
14,15.86666667,16.18333333,Sarah,Sarah
14,16.65,18.15,Cosima,Cosima
14,16.65,18.06666667,Sarah,Sarah
14,18.33333333,18.85,Sarah,Sarah
14,19.75,21.48333333,Alison,Alison
14,21.48333333,22.81666667,Sarah,Sarah
14,24.88333333,25.9,Sarah,Sarah
14,25.9,27.7,Alison,Alison
14,27.7,28.91666667,Sarah,Sarah
14,30.13333333,30.93333333,Sarah,Sarah
14,31.2,31.55,Sarah,Rachel
14,31.55,35.4,Sarah,Sarah
14,32.11666667,34.03333333,Cosima,Cosima
14,35.95,40.3,Sarah,Sarah
14,38.46666667,40.3,Helena,Helena
15,0,1.966666667,Rachel,Rachel
15,1.966666667,3.6,Helena,Helena
15,1.966666667,3.6,Sarah,Sarah
15,4.283333333,5.3,Rachel,Rachel
15,5.3,6.883333333,Cosima,Cosima
15,6.883333333,8.15,Sarah,Sarah
15,8.15,9.433333333,Helena,Helena
15,10.3,12.48333333,Rachel,Rachel
15,12.48333333,13.95,Helena,Helena
15,15.45,16.66666667,Helena,Helena
15,18.48333333,18.63333333,Sarah,Sarah
15,20.11666667,21.6,Sarah,Sarah
15,21.2,21.88333333,Helena,Helena
15,22.65,25.05,Cosima,Cosima
15,26.85,30.53333333,Sarah,Sarah
15,30.53333333,30.88333333,Rachel,Rachel
15,30.88333333,31.56666667,Helena,Helena
15,31.56666667,31.75,Rachel,Rachel
15,31.75,31.88333333,Helena,Helena
15,31.88333333,32.18333333,Rachel,Rachel
15,32.18333333,32.31666667,Sarah,Sarah
15,32.31666667,32.6,Helena,Helena
15,32.36666667,33.25,Rachel,Rachel
15,33.25,33.45,Helena,Helena
15,33.45,33.78333333,Sarah,Sarah
15,33.78333333,35.06666667,Rachel,Rachel
15,34.01666667,37.78333333,Helena,Helena
15,34.78333333,37.78333333,Sarah,Sarah
15,35.71666667,35.91666667,Rachel,Rachel
15,37.78333333,39.06666667,Cosima,Cosima
15,39.16666667,40.35,Sarah,Sarah
15,40.81666667,41.18333333,Sarah,Sarah
15,40.81666667,41.18333333,Helena,Helena
16,0,2.55,Sarah,Sarah
16,0.116666667,2.55,Helena,Helena
